original_text,augmented_text,intermediate_english
March 17th On The Road 南京,3月17日 南京公路,March 17th On The Road Nanking
我觉得，我是一个，情绪很稳定的人。,"我觉得我是一个非常,非常稳定的人","I feel like I'm a very, very stable person."
大人不在家，就嗦螺粉吧,"如果你不在家,你就得跟我谈谈","If you're not home, you'll have to talk to me."
哈哈翻书把手划破哈哈 哈哈,哈哈哈哈哈哈哈!,Ha-ha-ha-ha-ha!
每个人都是一面镜子。你错过了ta就是错过了照见自己的机会。,每个人都是镜子 你错过了塔 你错过了看自己的机会,Everyone's a mirror. You miss the ta and you miss the chance to see yourself.
第四天了 毛不易平凡的一天 平凡的一天 （）,第四天 不容易的一天 不容易的一天,Day four. A day that's not easy. A day that's not easy.
太阳照着10个牛肉蒸饺,太阳下十只牛排,Ten beef dumplings in the sun.
慢慢也懂得，看的淡一点,你等着瞧 有点亮,"You'll see, it's a little light."
长沙拜拜 长沙长沙南站,"再见,常沙南站","Good-bye, Changsha South Station."
City Run,城市运行。,City Run.
牛奶醪糟 红糖姜茶,是坏牛奶 红姜茶,It's bad milk. Red ginger tea.
大娃用了二娃用,婴儿用它两个。,The baby used it for two.
2025年第4本书十八岁出门远行,第四本书于2025年18岁时出版。,The fourth book went away at the age of 18 in 2025.
本自具足，无我不执,这是自成一体的 这是我的工作,It's self-contained. It's my job.
对了，昨天偷狗（被狗偷）来着。,对了 昨天那只狗偷了它,"By the way, yesterday the dog stole it."
周末去河边听广播,去河边听这个周末的广播,Go to the river and listen to the radio this weekend.
晒在彼岸的风,另一边的风,The wind on the other side.
卢关谁要我送你,谁让我载你一程?,Who asked me to give you a ride?
什么歌什么歌,什么歌 什么歌吗,What song? What song?
下午上班路上过于顺畅，四分钟就到单位，以至于现在还没缓过神来开工,下午上班的路上太容易了 离我们上班还有四分钟,It's too easy on the way to work in the afternoon. It's four minutes before we get to work.
莫名其妙的一天 还好不是清明节,今天很奇怪 幸好今天不是好日子,It's a strange day. It's a good thing it wasn't a good day.
暴风雨前的宁静,暴风雨前的宁静,The quiet before the storm.
最近粘人粘的像鼻涕虫一样 排卵期你好大的威力,你最近像鼻涕虫一样排卵,You've been ovulating like a Snotlout lately.
周天 昆明昆明植物园,"星期天,昆明昆明植物园","Sunday, Kunming Kunming Botanical Garden."
一路向北 沧州,一直到北边 最后的州,"All the way to the north, final state."
减轻压力，不要太认真。,放松点 别太严肃了,"Take it easy, don't be too serious."
星球运动时间星轨 水运动时间河流 相对静止：人,星际运动时间轨迹 水际运动时间河 相对静态:男人,"Star-motion time track, water-motion time river, relative static: man."
记录live2,记录实况2,Record Live2
3000字打卡机,30000 型卡机,3000 typecard machines
成都木兰花卉批发市场,成都兰花的批发市场,A wholesale market for Chengdu orchids.
睡了十二个小时,他睡了12个小时,He slept for 12 hours.
是我太封建了吗,我太封建了吗?,Am I too feudal?
猫：人，你吵到我睡觉了,"男人,你让我睡觉。","Cat: Man, you're making me sleep."
放假跟上学一眼就能分辨出来,你可以从第一次看学校放假时看出来,You can tell from the first look at school on vacation.
切勿手贱,你胆敢!,Don't you dare!
16 years,16 16 岁,16 years
我姐姐脖子上的痣真的好涩情,我姐姐脖子上的内鬼很凶,The moles on my sister's neck are so mean.
星星知道吗,星星知道吗?,Do the stars know?
早上安静的时光 只有音乐,只是早上的音乐而已,It's just music in the morning.
养生起来叭,我给你加薪,I'll give you a raise.
今天喝老班章,这是一个古老的课日。,It's an old class day.
第一次见浮尘 南京,"我第一次看到尘土,南京","The first time I saw dust, Nanking."
分享新鲜事,分享新的东西。,Share something new.
330早：4830,上午3时30分: 4830,330 a.m.: 4830
know your self better,你更了解你自己,You know your own better.
收礼也送礼,我给你个礼物,I'll give you a gift.
开心的时候在笑，难过的时候也在笑。原来笑不是一种表情，而是一种表情。,"当你感到悲伤时,笑笑的时候,笑笑。这不是一种表达,而是一种表达。","Laugh when you're happy and laugh when you're sad. It's not an expression, it's an expression."
广东 顺德,广东!,Guangdong!
诶 二刷可以理解作者说恩承是外热内冷人了 诶,我能理解提交人关于心脏寒冷的说法。,I can understand the author's claim that the heart is cold.
一朵花是不需要花店的，是花店需要花,花不需要花店 花店需要花,A flower doesn't need a flower shop. A flower shop needs flowers.
下雨天，出去转转。一放假就睡不着,"下雨了,去兜风,我下班后睡不着","It's raining, go for a spin. I can't sleep when I'm off."
风筝远远地看起来那么自由 近处看也是被人牵着线的。,风筝看起来如此自由 远离距离 它被绑在靠近它的地方,The kite looks so free from the distance that it's tied up close to it.
西双版纳,西部双人,West double.
相机里躺了不少新加坡的奇怪印象,摄像头里有很多新加坡的奇怪图像。,There's a lot of strange images of Singapore in the camera.
明天开始轻断食,明天我们开始轻松吃东西,Tomorrow we start eating lightly.
明天见，林芝 林芝,明天见 琳赛,"See you tomorrow, Lindsey."
海参，每次都是加烧烤粉吃下去。。,"海黄瓜,每次都用烧烤粉","Sea cucumbers, every time with barbecue powder."
一些日常,一些例行公事,Some routines.
一个人很奇妙 南通沪通长江大桥,做一个男人真是不可思议,It's amazing to be a man.
天呐 我真的,"哦,我的上帝,我真的... ...","Oh, my God, I really..."
当你足够相信你的兄弟，你就会被撞,当你足够信任你弟弟的时候 你会被击中的,"When you trust your brother enough, you'll be hit."
花知晓大礼盒,我知道礼物的盒子。,I know the box of gifts.
日常 47平淡而又波折的一周 以及期待春节的到来,"日复一日,第47周是光明的, 春天是预期的。","The day after day, the week of the 47th is light, and the spring is expected."
月报事件。,每月报告事件。,Monthly reports of incidents.
【2025 Day49】,[2025天49],[2025 Day49]
FLOWER,花朵,FLOWER
丸子煮起来怎么膨胀那么大？第一次看到膨胀那么大的丸子，还有也是我第一次买这么便宜的,我第一次见到这么大的药丸 第一次买这么便宜的药丸,"Why is it so big when it boils? The first time I saw a pill so big, and the first time I bought one so cheap."
指甲上做了一个蜘蛛我猫看见问我为什么要在指甲上画一只苍蝇,我在指甲上看到一只蜘蛛 问我为什么在指甲上画苍蝇,I saw a spider on my fingernails and asked me why I drew a fly on my nails.
今晚简单吃点番茄肉酱意面和土豆浓汤,今晚吃番茄酱意大利面 土豆和汤,Have some ketchup pasta and potatoes and soup tonight.
小猫咪 无暇不出,"猫咪,你有的是时间","Puss, you've got plenty of time."
跟我哥争论哪个超市最具性价比 我哥说奥乐齐 但我认为是盒马 我认为奥乐齐被严重高估,我哥哥说是奥拉基 但我觉得是一匹拳击马,"My brother says Olaki, but I think it's a boxhorse."
上下班反差,没用的,It's not working out.
with,与,With
想在大城市生活扎根 又想回去小县城小满胜完全,我想在大城市扎根 我想回我小郡,"I want to take root in the big city, and I want to go back to my little county."
一些零零散散的最近,最近发生了很多分裂,There's been a lot of fragmentation lately.
终于想起来搞我的破烂日记了,我终于想起去操我的破日记了,I finally remembered to fuck with my shitty diary.
21天戒掉一个习惯,21天戒掉习惯,Twenty-one days to quit a habit.
懒ᶻ 𝗓 𐰁,Lazzzz兹,Lazyz z
做来做去还是猫眼,"做它,或做它,或做它的眼睛吗?","Do it, or do it, or do it with an eye?"
工作之余，顺便打卡一下石狮美食，总体感觉一般 。 石狮,"除了工作之外,你还可以打中石狮的食物, 你也会有同样的感觉。","In addition to the work, you'll be able to hit the stone lion's food, and you'll feel the same."
成哆啦A梦了,她在做梦,She's in a dream.
我希望 (电视剧匆匆那年插曲) 我希望能拥有个明亮的落地窗,我希望我有一个明亮的窗口,I wish I had a bright window.
从小到大喜欢的每个男人都爱足球,每个从小就爱橄榄球的男人,Every man who's loved football since he was a kid.
卡路里极高的肉肉。少吃而已，别走极端什么都不吃哦,"卡路里是非常好的肉,别吃任何东西,别吃任何东西",The calories are very good meat. Don't eat anything. Don't eat anything.
最近的日常,最近日日报,Recent daily
谁的心 似随意肌 心之科学,"他的心脏,像随机肌肉, 心脏科学。","Whose heart, like random muscles, the science of hearts."
我就这样,这就是我的工作。,That's what I do.
摸鱼看书的周一,那天的星期一 你触摸鱼 阅读书。,The Monday of the day you touch the fish and read the book.
本女子来也,女孩来了,Here comes the girl.
我乱说的 我不想睡觉了,"胡说,我不想睡觉",That's bullshit. I don't want to go to sleep.
12天vs一个半月vs三个半月vs四个月,12天对1个半月对3个半月对4个月,12 days vs one and a half months vs three and a half months vs four months
崩坏星穹铁道,炸掉星穹,Blast the Star Dome.
原来！无尽夏就是绣球啊？！ 我还说怎么长得这么像绣球呢,"你知道,这就像一个Hedrangea 整个夏天。","You know, it's like a hydrangea in all summer."
好少自拍 啊,我不想开枪自杀,I don't want to shoot myself.
留坝老街 白天是安静的 晚上又多了几分热闹的老街 汉中留坝宾馆,旧小屋 白天安静 晚上还有几条更热的老街,"The Old Lodge, the quiet during the day, and a few more hot old streets at night."
拥有一副能伸能弯能屈的四肢是每个想扛大炮徒步一周的人的必需品,每一个想背炮一周的人 都有必要有一个能弯曲弯曲的腿,Having a leg that can bend and bend is a necessity for everyone who wants to carry a cannon for a week.
我以为中午1号线5号线没啥人。结果还挺多的，至少座位都坐满了。 杭州,我觉得中午五号线上没有人,"I didn't think there was anyone on line 5 at noon. It turned out to be a lot, at least there were seats full."
浅韩一下,"亚撒汉,稍等一下","Asa-han, for a second."
清清库存,清除清清清库存,Clear inventory
一些cafe clark 北京Cafe Clark(华纺易城西区店),"一家咖啡馆,北京咖啡厅","Some cafe clark, Beijing Cafe clark."
学习英语，打扫卫生,"学英语,打扫干净","Learn English, clean up."
微博的朋友们 提前看花絮,"韦博的朋友,期待花朵。","Weibo's friends, look forward to the flowers."
同人看多了我现在每次看到老四都感觉是个白切黑,"每次看到我的第四张脸,我都感觉自己是白人和黑人",I feel like I'm white and black every time I see my fourth.
